LA_name,LA_code,Total_Death,total_population,toddlers,kids,teenagers,working_professionals,senior_citizens,males,females
Adur,E07000223,87,61182,3537,3110,6713,34388,13434,29513,31669
Allerdale,E07000026,259,96422,4921,4706,11260,55502,20033,47371,49051
Amber Valley,E07000032,306,122309,6404,6387,14507,72232,22779,60192,62117
Arun,E07000224,320,149518,7386,6968,15347,80489,39328,71303,78215
Ashfield,E07000170,378,119497,7413,6663,14526,70657,20238,58665,60832
Ashford,E07000105,347,117956,7771,7358,15459,67400,19968,57232,60724
Babergh,E07000200,204,87740,4451,4868,10597,49068,18756,43004,44736
Barking and Dagenham,E09000002,513,185911,18676,14331,25342,108241,19321,90237,95674
Barnet,E09000003,867,356386,26239,22352,41873,218490,47432,172676,183710
Barnsley,E08000016,717,231221,13957,12562,27768,136924,40010,113634,117587
Barrow-in-Furness,E07000027,165,69087,3719,3641,8513,40259,12955,34185,34902
Basildon,E07000066,555,174497,11405,10665,21929,102610,27888,84645,89852
Basingstoke and Deane,E07000084,287,167799,11355,9947,19979,102367,24151,83116,84683
Bassetlaw,E07000171,214,112863,6105,5826,13915,66076,20941,56024,56839
Bath and North East Somerset,E06000022,265,176016,9238,8700,22850,103411,31817,86072,89944
Bedford,E06000055,479,157479,10099,9376,20405,92731,24868,77312,80167
Bexley,E09000004,579,231997,15182,14015,30846,134742,37212,111676,120321
Birmingham,E08000025,2716,1073045,81901,74360,153937,624634,138213,527806,545239
Blaby,E07000129,208,93915,5446,5324,11462,54808,16875,46228,47687
Blackburn with Darwen,E06000008,416,147489,11278,10478,20540,86132,19061,73547,73942
Blackpool,E06000009,382,142065,8218,7436,16700,82472,27239,69775,72290
Bolsover,E07000033,222,75866,4275,4003,9117,44687,13784,37388,38478
Bolton,E08000001,680,276786,18765,16878,35715,162888,42540,136660,140126
Boston,E07000136,157,64637,3841,3223,7212,37619,12742,31536,33101
Bracknell Forest,E06000036,157,113205,8027,6745,14313,69973,14147,56107,57098
Bradford,E08000032,1162,522452,41167,37482,71636,302775,69392,257132,265320
Braintree,E07000067,402,147084,9467,8729,17612,86863,24413,72137,74947
Breckland,E07000143,295,130491,7412,6433,15043,73465,28138,64566,65925
Brent,E09000005,792,311215,22446,18648,36531,200914,32676,156468,154747
Brentwood,E07000068,224,73601,3926,4057,9080,42489,14049,35582,38019
