LA_name,LA_code,Total_Death,total_population,toddlers,kids,teenagers,working_professionals,senior_citizens,males,females,econ_active,econ_inactive,males_econ_active,males_econ_inactive,females_econ_active,females_econ_inactive
Hartlepool,E06000001,250,92028,5698,5192,11931,53609,15598,44751,47277,43513,23291,23108,9573,20405,13718
Middlesbrough,E06000002,365,138412,9431,8276,18549,81465,20691,67732,70680,63582,36969,33801,15879,29781,21090
Redcar and Cleveland,E06000003,315,135177,7553,7098,16638,77636,26252,65655,69522,63530,35647,33180,15131,30350,20516
Stockton-on-Tees,E06000004,438,191610,12322,10973,24276,114088,29951,94082,97528,96259,44395,50595,18812,45664,25583
Darlington,E06000005,244,105564,6579,6074,12632,61840,18439,51483,54081,53443,23192,27913,9837,25530,13355
Halton,E06000006,274,125746,8354,7383,15659,75869,18481,61368,64378,63411,29297,33203,12341,30208,16956
Warrington,E06000007,514,202228,12309,11555,24803,121347,32214,100300,101928,107765,41696,56706,18041,51059,23655
Blackburn with Darwen,E06000008,416,147489,11278,10478,20540,86132,19061,73547,73942,67033,37384,37430,15076,29603,22308
Blackpool,E06000009,382,142065,8218,7436,16700,82472,27239,69775,72290,68540,35273,35962,15894,32578,19379
Kingston upon Hull,E06000010,611,256406,17358,13974,31360,157983,35731,128420,127986,128130,62480,69585,26947,58545,35533
East Riding of Yorkshire,E06000011,748,334179,16400,16630,39021,190673,71455,163388,170791,168860,76734,89224,32333,79636,44401
North East Lincolnshire,E06000012,252,159616,10005,8966,19535,92823,28287,78247,81369,79227,36596,42619,14744,36608,21852
North Lincolnshire,E06000013,278,167446,10282,9377,19705,98043,30039,82623,84823,84668,37661,45827,15233,38841,22428
York,E06000014,337,198051,10677,9348,23809,120802,33415,96254,101797,104945,44844,54200,19297,50745,25547
Derby,E06000015,707,248752,17743,14983,31585,146772,37669,123046,125706,123691,55600,66060,23172,57631,32428
Leicester,E06000016,810,329839,24297,20780,44652,202894,37216,162884,166955,156425,85807,85795,34335,70630,51472
Rutland,E06000017,65,37369,1854,1850,5247,20569,7849,18915,18454,18758,8294,10271,3622,8487,4672
Nottingham,E06000018,636,305680,19959,16429,42919,190821,35552,153777,151903,142327,89745,76978,41124,65349,48621
Herefordshire,E06000019,293,183477,9580,9180,21178,104523,39016,90302,93175,95114,38328,50822,15631,44292,22697
Telford and Wrekin,E06000020,242,166641,11344,10007,22090,99111,24089,82549,84092,84947,37332,46004,15195,38943,22137
